wavelength [um],"Bulb Spectra, No background"
0.36938,1066.4
0.369416,1080.8
0.369452,1097.6
0.369488,1088.8
0.369524,1094.8
0.36956,1105.2
0.369596,1084.4
0.369633,1091.6
0.369669,1118
0.369705,1082
0.369741,1077.6
0.369777,1076.8
0.369813,1102.8
0.369849,1112
0.369885,1123.6
0.369921,1102.4
0.369957,1122.8
0.369993,1095.6
0.370029,1108.4
0.370065,1115.2
0.370101,1129.6
0.370137,1139.2
0.370174,1145.6
0.37021,1117.6
0.370246,1121.6
0.370282,1129.2
0.370318,1110.8
0.370354,1110
0.37039,1101.6
0.370426,1092.8
0.370462,1154.4
0.370498,1146
0.370534,1139.2
0.37057,1153.6
0.370606,1118.8
0.370642,1140
0.370678,1140
0.370714,1155.2
0.37075,1148
0.370786,1167.6
0.370823,1150.8
0.370859,1144.8
0.370895,1169.2
0.370931,1130
0.370967,1176.4
0.371003,1175.6
0.371039,1169.6
0.371075,1178.8
0.371111,1171.2
0.371147,1172.8
0.371183,1189.2
0.371219,1178.8
0.371255,1180
0.371291,1177.2
0.371327,1160.4
0.371363,1187.2
0.371399,1175.2
0.371435,1176.4
0.371471,1186.4
0.371507,1196.4
0.371543,1208.8
0.371579,1180.4
0.371615,1222.8
0.371652,1185.6
0.371688,1230
0.371724,1194
0.37176,1231.6
0.371796,1246.8
0.371832,1217.2
0.371868,1199.2
0.371904,1216.8
0.37194,1220
0.371976,1223.6
0.372012,1225.6
0.372048,1256.4
0.372084,1213.2
0.37212,1203.6
0.372156,1264.8
0.372192,1232
0.372228,1220.4
0.372264,1217.6
0.3723,1250.4
0.372336,1241.6
0.372372,1216.8
0.372408,1235.6
0.372444,1228
0.37248,1223.6
0.372516,1250.8
0.372552,1231.6
0.372588,1226.4
0.372624,1261.2
0.37266,1248.4
0.372696,1237.6
0.372732,1234.8
0.372768,1255.2
0.372804,1239.6
0.37284,1252.4
0.372876,1258
0.372912,1273.6
0.372948,1282
0.372984,1268
0.37302,1280.8
0.373056,1267.2
0.373092,1286
0.373128,1288
0.373164,1268.8
0.3732,1295.2
0.373236,1285.6
0.373272,1293.2
0.373308,1275.6
0.373344,1294.8
0.37338,1312.8
0.373416,1285.6
0.373452,1299.2
0.373488,1314.8
0.373524,1316.4
0.37356,1312.4
0.373596,1323.2
0.373632,1302
0.373668,1312.4
0.373704,1324.4
0.37374,1295.6
0.373776,1308
0.373812,1326.8
0.373848,1326
0.373884,1308.4
0.37392,1324.4
0.373956,1319.6
0.373992,1319.6
0.374028,1319.2
0.374064,1315.2
0.3741,1304.4
0.374136,1337.6
0.374172,1336.4
0.374208,1346.4
0.374244,1334.4
0.37428,1346
0.374316,1322.8
0.374352,1339.2
0.374388,1295.6
0.374424,1390
0.37446,1335.2
0.374496,1351.6
0.374532,1344.4
0.374568,1366.4
0.374604,1378
0.37464,1345.2
0.374676,1357.2
0.374712,1383.6
0.374748,1351.6
0.374784,1384
0.37482,1374
0.374856,1407.6
0.374892,1377.2
0.374928,1336
0.374964,1409.2
0.375,1369.2
0.375036,1400
0.375072,1410.4
0.375108,1369.2
0.375144,1395.6
0.37518,1401.2
0.375216,1404.8
0.375252,1404
0.375288,1407.6
0.375324,1403.2
0.37536,1380.4
0.375396,1421.6
0.375432,1412.4
0.375468,1402
0.375504,1416.8
0.37554,1419.6
0.375576,1418.4
0.375611,1423.6
0.375647,1419.6
0.375683,1419.6
0.375719,1427.6
0.375755,1426.4
0.375791,1437.6
0.375827,1442
0.375863,1424
0.375899,1420
0.375935,1460
0.375971,1396.8
0.376007,1445.2
0.376043,1462
0.376079,1463.2
0.376115,1482.4
0.376151,1448.8
0.376187,1434.8
0.376223,1438.8
0.376259,1473.6
0.376295,1471.2
0.376331,1447.2
0.376367,1443.6
0.376402,1448.4
0.376438,1462.4
0.376474,1462.8
0.37651,1480.4
0.376546,1466.8
0.376582,1478
0.376618,1482.8
0.376654,1452.8
0.37669,1492.8
0.376726,1464.8
0.376762,1472.8
0.376798,1460.4
0.376834,1467.2
0.37687,1507.2
0.376906,1476.8
0.376942,1499.6
0.376978,1482.8
0.377014,1492
0.377049,1503.2
0.377085,1511.6
0.377121,1504
0.377157,1543.6
0.377193,1475.2
0.377229,1525.6
0.377265,1505.6
0.377301,1538.4
0.377337,1506
0.377373,1524
0.377409,1516.8
0.377445,1491.6
0.377481,1520
0.377517,1544.4
0.377552,1562
0.377588,1509.2
