wavelength [nm],intensity,std of intensity,Backgroundless I,eV,True Spectrum,,I/2,True Spec / 2,,2I,2 True Spec
332.908,1740.0,11.430952132988164,682.0,3.7247527845530897,268.39774507281214,,341.0,134.19887253640607,,1364.0,536.7954901456243
332.944,1698.6666666666667,14.079141387961917,649.8666666666668,3.72435004084771,255.49184221508332,,324.9333333333334,127.74592110754166,,1299.7333333333336,510.98368443016665
332.98,1731.3333333333333,14.2672897060218,681.7333333333333,3.7239473842272806,267.7476789646386,,340.8666666666667,133.8738394823193,,1363.4666666666667,535.4953579292772
333.017,1736.0,23.72059583287626,684.0,3.7235336334181137,268.3573877506958,,342.0,134.1786938753479,,1368.0,536.7147755013916
333.053,1743.3333333333333,0.9428090415820634,694.1333333333332,3.723131153299925,272.0564385375171,,347.0666666666666,136.02821926875856,,1388.2666666666664,544.1128770750342
333.089,1719.3333333333333,8.993825042154693,666.9333333333332,3.7227287601812127,261.13032359960357,,333.4666666666666,130.56516179980179,,1333.8666666666663,522.2606471992071
333.126,1695.3333333333333,10.873004286866726,642.5333333333333,3.722315280104225,251.3142937611674,,321.26666666666665,125.6571468805837,,1285.0666666666666,502.6285875223348
333.162,1682.6666666666667,7.71722460186015,636.2666666666667,3.721913063314544,248.61064399981217,,318.1333333333333,124.30532199990608,,1272.5333333333333,497.22128799962434
333.198,1675.3333333333333,11.115554667022044,627.3333333333333,3.7215109334389767,244.87139287014497,,313.66666666666663,122.43569643507249,,1254.6666666666665,489.74278574028995
333.235,1672.6666666666667,21.746008573733455,622.2666666666667,3.7210977238285294,242.6404733461486,,311.1333333333333,121.3202366730743,,1244.5333333333333,485.2809466922972
333.271,1716.0,4.320493798938574,666.8,3.7206957701090104,259.74170257754264,,333.4,129.87085128877132,,1333.6,519.4834051550853
333.307,1673.3333333333333,19.48218559493661,624.1333333333332,3.720293903218354,242.8750901541664,,312.0666666666666,121.4375450770832,,1248.2666666666664,485.7501803083328
333.344,1702.6666666666667,8.993825042154693,651.0666666666668,3.719880963809158,253.09202044955117,,325.5333333333334,126.54601022477559,,1302.1333333333337,506.18404089910234
333.38,1691.3333333333333,9.285592184789412,639.7333333333333,3.719479272901794,248.43439457660753,,319.8666666666667,124.21719728830377,,1279.4666666666667,496.86878915321506
333.416,1687.3333333333333,4.988876515698588,634.1333333333332,3.719077668738153,246.01024524262587,,317.0666666666666,123.00512262131294,,1268.2666666666664,492.02049048525174
333.453,1672.6666666666667,15.520595635763755,621.0666666666668,3.718664999265264,240.69030744668746,,310.5333333333334,120.34515372334373,,1242.1333333333337,481.3806148933749
333.489,1658.6666666666667,5.2493385826745405,613.8666666666668,3.7182635709123844,237.6591537336684,,306.9333333333334,118.8295768668342,,1227.7333333333336,475.3183074673368
333.525,1643.3333333333333,10.873004286866726,597.7333333333333,3.7178622292181998,231.1789061121052,,298.8666666666667,115.5894530560526,,1195.4666666666667,462.3578122242104
333.562,1668.6666666666667,9.977753031397176,619.8666666666668,3.7174498294170197,239.48987397781684,,309.9333333333334,119.74493698890842,,1239.7333333333336,478.9797479556337
333.598,1667.3333333333333,19.344824171395878,620.5333333333333,3.717048663361291,239.50493480819858,,310.26666666666665,119.75246740409929,,1241.0666666666666,479.00986961639717
333.634,1648.6666666666667,22.29100466306732,598.6666666666667,3.7166475838793405,230.83147475125588,,299.33333333333337,115.41573737562794,,1197.3333333333335,461.66294950251176
333.671,1646.6666666666667,5.734883511361751,600.6666666666667,3.716235453485619,231.36198308269945,,300.33333333333337,115.68099154134973,,1201.3333333333335,462.7239661653989
333.707,1641.3333333333333,9.977753031397176,590.5333333333333,3.715834549470044,227.22898293983187,,295.26666666666665,113.61449146991593,,1181.0666666666666,454.45796587966373
333.743,1631.3333333333333,6.79869268479038,581.7333333333333,3.7154337319434414,223.61669212987155,,290.8666666666667,111.80834606493578,,1163.4666666666667,447.2333842597431
333.78,1633.3333333333333,13.59738536958076,582.5333333333333,3.7150218706932714,223.6917368505981,,291.26666666666665,111.84586842529905,,1165.0666666666666,447.3834737011962
333.816,1623.3333333333333,1.8856180831641267,564.5333333333333,3.7146212284611884,216.5608539710403,,282.26666666666665,108.28042698552015,,1129.0666666666666,433.1217079420806
